Year,Coal,Petroleum,Gas,Renewables
1990,76.2,,,
1991,76.1,,,
1992,75.7,,,
1993,74.7,,,
1994,75,,,
1995,74.6,,,
1996,73.5,,,
1997,71.4,,,
1998,70.9,,,
1999,70.6,,,
2000,68.5,,,
2001,68,,,
2002,68.5,,,
2003,70.2,,,
2004,70.2,,,
2005,72.4,17.8,2.4,7.4
2006,72.4,17.5,2.7,7.4
2007,72.5,17,3,7.5
2008,71.5,16.7,3.4,8.4
2009,71.6,16.4,3.5,8.5
2010,69.2,17.4,4,9.4
2011,70.2,16.8,4.6,8.4
2012,68.5,17,4.8,9.7
2013,67.4,17.1,5.3,10.2
2014,65.8,17.3,5.6,11.3
2015,63.8,18.4,5.8,12
2016,62.2,18.7,6.1,13
2017,60.6,18.9,6.9,13.6
2018,59,18.9,7.6,14.5
2019,57.7,18.9,8.1,15.3
2020,56.8,,,
